id,disasterType,startDate,cleansdate,endDate,cleanedate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions
84,Transport ,5/30/1949 0:00,5/30/1949,5/30/1949 0:00,5/30/1949,-33.79455185,151.2841339,,,33,4,,,,,,1,,,,,,,New South Wales
85,Shipwreck ,30/05/1886 00:00:00,30/05/1886,30/05/1886 00:00:00,30/05/1886,-37.54811478,149.9024353,,,16,71,,,,,,,,,,,,,New South Wales
86,Shipwreck ,04/08/1924,04/08/1924,04/08/1924,4/08/1924,-38.29640579,144.6350098,,,,6,,,,,,,,,,,,,Victoria
87,Bushfire ,12/01/1974,12/01/1974,02/01/1975,2/01/1975,-31.49797058,145.8381958,,,,3,,,,,,,,,,,50000,,New South Wales
88,Extreme Weather,1/15/2001 0:00,1/15/2001,1/15/2001 0:00,1/15/2001,-33.84646606,151.2307587,,,,,12000000,,,,,,,,,,,,New South Wales
89,Shipwreck ,23/12/1837 00:00:00,23/12/1837,23/12/1837 00:00:00,23/12/1837,-32.92840958,151.8066864,,,,3,,,,,,,,,,,,,New South Wales
90,Shipwreck ,11/09/1876 00:00:00,11/09/1876,12/09/1876 00:00:00,12/09/1876,-35.16117859,150.782547,,,,44,,,,,,,,,,,,,New South Wales
91,Extreme Weather,02/07/1991,02/07/1991,02/11/1991,2/11/1991,-27.99690247,152.6821594,,,10,3,,,,,,,,,,,,,Queensland
92,Shipwreck ,3/29/1923 0:00,3/29/1923,3/29/1923 0:00,3/29/1923,-14.47723389,140.7348633,,,,20,,,,,,,,,,,,,Outside Australia
93,Extreme Weather,11/03/1995,11/03/1995,11/06/1995,11/06/1995,-27.47093391,153.0234985,,,,1,40000000,300,,,,,,,,,,,Queensland
94,Shipwreck ,02/08/1863 00:00:00,02/08/1863,02/08/1863 00:00:00,02/08/1863,-38.34098434,141.614563,,,,6,,,,,,,,,,,,,Victoria
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,Tasmania
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,Queensland
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,New South Wales
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,Australian Capital Territory
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,Northern Territory
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,South Australia
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,Western Australia
95,Environmental,04/01/1982,04/01/1982,03/01/1983,3/01/1983,-28.92163086,145.612793,,,,,3000000000,,,,,,,,,,,,Victoria
96,Shipwreck ,21/03/1852 00:00:00,21/03/1852,21/03/1852 00:00:00,21/03/1852,-38.278012,144.636812,,,,9,,,,,,,,,,,,,Victoria
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,Australian Capital Territory
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,Northern Territory
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,Queensland
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,New South Wales
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,South Australia
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,Western Australia
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,Tasmania
97,Epidemic ,01/01/1918,01/01/1918,12/31/1919 0:00,12/31/1919,-37.81215668,144.9628906,,,,10000,,,,,,,,,,,,,Victoria
98,Urban Fire ,10/27/1948 0:00,10/27/1948,10/27/1948 0:00,10/27/1948,-34.92608643,138.5995636,,,,5,,,,,,,,,,,,,South Australia
99,Shipwreck ,17/05/1866 00:00:00,17/05/1866,17/05/1866 00:00:00,17/05/1866,-37.50918198,149.9960022,,,1,9,,,,,,,,,,,,,Victoria
100,Extreme Weather,08/02/1860 00:00:00,08/02/1860,13/02/1860 00:00:00,13/02/1860,-35.440813,149.798584,,,,24,,,,,,,,,,,,,New South Wales
101,Transport ,1/20/1944 0:00,1/20/1944,1/20/1944 0:00,1/20/1944,-33.54708099,151.2264252,,,5,17,,,,,,,1,,,,,,New South Wales
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,Northern Territory
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,Queensland
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,New South Wales
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,Australian Capital Territory
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,South Australia
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,Western Australia
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,Tasmania
102,Environmental,01/01/1918,01/01/1918,01/02/1920,1/02/1920,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,Victoria
103,Bushfire ,01/01/1952,01/01/1952,03/01/1952,3/01/1952,-36.68604279,147.1508789,,,,10,,,,,,,,,,,,,Victoria
104,Other ,03/08/1973,03/08/1973,03/08/1973,3/08/1973,-27.45536041,153.032196,,,,15,,,,,,,,,,,,,Queensland
105,Extreme Weather,12/31/1993 0:00,12/31/1993,1/25/1994 0:00,1/25/1994,-9.860628128,162.4987793,,,,4,,100,,,,,,,,,,,Queensland
106,Transport ,02/01/1976,02/01/1976,02/01/1976,2/01/1976,-34.788396,138.634071,,,,5,,,,,,,,,,,,,South Australia
107,Extreme Weather,11/30/1934 0:00,11/30/1934,12/02/1934,12/02/1934,-37.81361008,144.9630585,,,,36,,,400,,,,,,,,,,Victoria
108,Transport ,06/01/1952,06/01/1952,06/01/1952,6/01/1952,-37.86028671,145.2844086,,,,9,,,,,,,,,,,,,Victoria
109,Shipwreck ,02/06/1945,02/06/1945,02/06/1945,2/06/1945,-35.02999496,101.3818359,,,,32,,,,,,,,,,,,,Western Australia
110,Transport ,1/25/1972 0:00,1/25/1972,1/25/1972 0:00,1/25/1972,-30.59736,138.421984,,,,4,,,,,,,,,,,,,South Australia
111,Shipwreck ,6/18/1909 0:00,6/18/1909,07/12/1909,7/12/1909,-32.56533432,152.4462891,,,,17,,,,,,,,,,,,,New South Wales
112,Transport ,25/01/1885 00:00:00,25/01/1885,25/01/1885 00:00:00,25/01/1885,-34.6529808,148.0146027,,,20,7,,,,,,,,,,,,,New South Wales
113,Shipwreck ,01/05/1857 00:00:00,01/05/1857,01/05/1857 00:00:00,01/05/1857,-27.16303062,153.356781,,,,16,,,,,,,,,,,,,Queensland
114,Extreme Weather,1/25/1974 0:00,1/25/1974,04/01/1974,4/01/1974,-27.47084808,153.0234222,,,,14,68000000,,,,,,,,,,,,Tasmania
114,Extreme Weather,1/25/1974 0:00,1/25/1974,04/01/1974,4/01/1974,-27.47084808,153.0234222,,,,14,68000000,,,,,,,,,,,,Queensland
