id,disasterType,startDate,cleansdate,endDate,cleanedate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions
275,Environmental,01/01/1895 00:00:00,01/01/1895,01/01/1902,1/01/1902,-30.04769897,145.9396362,,,,,,,,,,,,,,,,,Tasmania
275,Environmental,01/01/1895 00:00:00,01/01/1895,01/01/1902,1/01/1902,-30.04769897,145.9396362,,,,,,,,,,,,,,,,,Victoria
276,Shipwreck ,01/01/1753 00:00:00,01/01/1753,01/01/1753 00:00:00,01/01/1753,-28.65203094,113.8046265,,,,130,,,,,,,,,,,,,Western Australia
277,Shipwreck ,26/05/1848 00:00:00,26/05/1848,26/05/1848 00:00:00,26/05/1848,-38.29532623,144.5993042,,,20,4,,,,,,,,,,,,,Victoria
278,Industrial ,21/03/1898 00:00:00,21/03/1898,21/03/1898 00:00:00,21/03/1898,-32.98706818,151.7151031,,,,15,,,,,,,,,,,,,New South Wales
279,Transport ,05/07/1952,05/07/1952,05/07/1952,5/07/1952,-33.87202072,151.0318909,,,140,10,,,,,,,,,,,,,New South Wales
280,Extreme Weather,12/16/1998 0:00,12/16/1998,12/16/1998 0:00,12/16/1998,-27.41870308,153.0553284,,,,,76000000,2600,,,,1500,,,,,,,Queensland
281,Shipwreck ,1/31/1970 0:00,1/31/1970,1/31/1970 0:00,1/31/1970,-12.76894569,129.2431641,,,,9,,,,,,,,,,,,,Northern Territory
282,Bushfire ,06/02/1851 00:00:00,06/02/1851,07/02/1851 00:00:00,07/02/1851,-38.26670456,146.7412109,,100,,12,,,,,,,,,,,,,Victoria
283,Shipwreck ,9/19/1919 0:00,9/19/1919,9/19/1919 0:00,9/19/1919,-34.41597366,137.0214844,,,7,11,,,,,,,,,,,,,South Australia
284,Shipwreck ,06/08/1859 00:00:00,06/08/1859,06/08/1859 00:00:00,06/08/1859,-38.06606674,140.6667175,,,24,89,,,,,,,,,,,,,South Australia
285,Shipwreck ,11/29/1934 0:00,11/29/1934,11/30/1934 0:00,11/30/1934,-38.52533722,145.1005554,,,,16,,,,,,,,,,,,,Victoria
286,Industrial ,5/29/1991 0:00,5/29/1991,5/29/1991 0:00,5/29/1991,-33.46237946,145.5345154,,,,3,,,,,,,,,,,,,New South Wales
287,Transport ,08/03/1920,08/03/1920,08/03/1920,8/03/1920,-33.96678162,151.1014099,,,18,4,,,,,,,,,,,,,New South Wales
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,Northern Territory
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,Queensland
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,New South Wales
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,Australian Capital Territory
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,South Australia
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,Western Australia
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,Tasmania
288,Environmental,01/01/1939,01/01/1939,6/30/1945 0:00,6/30/1945,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,Victoria
289,Urban Fire ,09/09/1952,09/09/1952,09/09/1952,9/09/1952,-38.92362595,146.2733459,,,26,5,,,,,1,,,,,,,,Victoria
290,Urban Fire ,9/17/1989 0:00,9/17/1989,9/17/1989 0:00,9/17/1989,-33.87305069,151.2222137,,,18,6,,,,,1,,,,,,,,New South Wales
291,Industrial ,12/05/1900,12/05/1900,12/05/1900,12/05/1900,-32.64515686,151.3902283,,,,5,,,,,,,,,,,,,New South Wales
292,Shipwreck ,7/19/1908 0:00,7/19/1908,7/19/1908 0:00,7/19/1908,-17.81145668,168.0029297,,,,19,,,,,,,,,,,,,New South Wales
293,Shipwreck ,24/05/1856 00:00:00,24/05/1856,24/05/1856 00:00:00,24/05/1856,-38.817241,146.519165,,,,4,,,,,,,,,,,,,Victoria
294,Transport ,02/08/1969,02/08/1969,02/08/1969,2/08/1969,-34.788396,138.634071,,,,4,,,,,,,,,,,,,South Australia
295,Bushfire ,02/04/1932,02/04/1932,2/28/1932 0:00,2/28/1932,-37.0245285,145.1369171,,,,9,,,,,,,,,,,,,Victoria
296,Transport ,11/01/1993,11/01/1993,11/01/1993,11/01/1993,-36.34154129,146.3813171,,,35,9,,,,,,,,,,,,,Victoria
297,Urban Fire ,8/22/1946 0:00,8/22/1946,8/22/1946 0:00,8/22/1946,-33.87269592,151.2069855,,,,,,,,,1,,,,1,,,,New South Wales
298,Transport ,03/10/1947,03/10/1947,03/10/1947,3/10/1947,-33.79503632,151.2691803,,,70,,,,,,,1,,,,,,,New South Wales
299,Other ,4/28/1996 0:00,4/28/1996,4/28/1996 0:00,4/28/1996,-43.13644409,147.8509064,,,21,35,,,,,,,,,,,,,Tasmania
300,Transport ,12/16/1988 0:00,12/16/1988,12/16/1988 0:00,12/16/1988,-28.482423,120.984535,,,,10,,,,,,,,,,,,,Western Australia
301,Extreme Weather,06/01/1950,06/01/1950,6/30/1950 0:00,6/30/1950,-30.89574432,153.0127716,,,,5,,,,,,,,,,,,,New South Wales
302,Extreme Weather,11/20/1994 0:00,11/20/1994,11/20/1994 0:00,11/20/1994,-33.91601181,150.9922791,,,2,2,29000000,,,,,,,,,,,,New South Wales
303,Extreme Weather,1/17/1970 0:00,1/17/1970,1/19/1970 0:00,1/19/1970,-20.26155281,148.9804535,,,,14,12000000,,,,,,,,,,,,Queensland
304,Extreme Weather,5/23/1994 0:00,5/23/1994,5/24/1994 0:00,5/24/1994,-32.53684616,115.7422714,,200,,,37000000,,,,,,,,,,,,Western Australia
305,Epidemic ,04/11/2000,04/11/2000,4/27/2000 0:00,4/27/2000,-37.81290436,144.9633179,,,131,4,,,,,,,,,,,,,Victoria
306,Transport ,8/18/1999 0:00,8/18/1999,8/18/1999 0:00,8/18/1999,-31.02984238,123.5682144,,,45,,,,,,,,,,,,,,Western Australia
307,Extreme Weather,3/31/1988 0:00,3/31/1988,04/02/1988,4/02/1988,-23.49347687,132.8082275,300,,,3,10000000,,,,,,,,,,,,Northern Territory
308,Environmental,1/20/2000 0:00,1/20/2000,1/24/2000 0:00,1/24/2000,-27.4644146,153.0340576,,,350,22,,,,,,,,,,,,,Queensland
309,Bushfire ,02/12/1977,02/12/1977,02/12/1977,2/12/1977,-37.67930603,143.0588379,,350,,4,9000000,,116,,340,,,,,,198000,,Victoria
310,Extreme Weather,14/04/1889 00:00:00,14/04/1889,19/04/1889 00:00:00,19/04/1889,-34.92729187,138.6278992,,,,5,,,,,,,,,,,,,South Australia
311,Urban Fire ,8/25/1981 0:00,8/25/1981,8/25/1981 0:00,8/25/1981,-33.87319565,151.2224274,55,,,9,,,,,,,,,,,,,New South Wales
312,Shipwreck ,28/02/1890 00:00:00,28/02/1890,28/02/1890 00:00:00,28/02/1890,-9.80650425,142.4816895,,,158,133,,,,,,,,,,,,,Queensland
313,Extreme Weather,02/04/1998,02/04/1998,02/04/1998,2/04/1998,-34.8499794,150.7465363,,,1,,12000000,,,,,,,,,,,,New South Wales
314,Extreme Weather,1/20/1930 0:00,1/20/1930,1/30/1930 0:00,1/30/1930,-21.14026833,149.1857605,,,,6,,,,,,,,,,,,,Queensland
315,Other ,7/30/1997 0:00,7/30/1997,7/30/1997 0:00,7/30/1997,-36.50453186,148.3059845,,,1,18,,,,,2,,,,,,,,New South Wales
316,Industrial ,10/15/1970 0:00,10/15/1970,10/15/1970 0:00,10/15/1970,-37.82938004,144.8983459,,,,35,,,,,,,,,,,,,Victoria
317,Extreme Weather,02/10/1927,02/10/1927,2/17/1927 0:00,2/17/1927,-16.92245293,145.7740326,,,,47,,,16,,,,,,,,,,Queensland
318,Transport ,2/24/1951 0:00,2/24/1951,2/24/1951 0:00,2/24/1951,-36.50918961,142.1040344,,,,11,,,,,,,1,,,,,,Victoria
319,Extreme Weather,10/24/1999 0:00,10/24/1999,10/24/1999 0:00,10/24/1999,-31.63124084,152.7038727,,,,,45000000,,,,,,,,,,,,New South Wales
320,Bushfire ,1/17/1965 0:00,1/17/1965,1/17/1965 0:00,1/17/1965,-36.80660629,145.4255676,,,,7,,,6,,,,,,,,,,Victoria
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,Northern Territory
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,Queensland
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,New South Wales
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,Australian Capital Territory
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,South Australia
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,Western Australia
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,Tasmania
321,Environmental,01/01/1958,01/01/1958,09/01/1968,9/01/1968,-23.70033646,133.880722,,,,,,,,,,,,,,,,,Victoria
322,Extreme Weather,2/14/1928 0:00,2/14/1928,2/22/1928 0:00,2/22/1928,-27.47046852,153.0235443,,,,5,,,,,,,,,,,,,Queensland
323,Transport ,11/30/1961 0:00,11/30/1961,11/30/1961 0:00,11/30/1961,-33.91593933,151.1642761,,,,15,,,,,,,,,,,,,New South Wales
324,Urban Fire ,07/10/1901,07/10/1901,07/10/1901,7/10/1901,-33.87269592,151.2069855,,,,5,,,,,,,,,1,,,,New South Wales
325,Extreme Weather,01/04/1890 00:00:00,01/04/1890,01/10/1890 00:00:00,01/10/1890,-34.10018539,141.9185333,,,,9,,,,,,,,,,,,,New South Wales
326,Extreme Weather,04/03/1929,04/03/1929,04/06/1929,4/06/1929,-41.05178452,145.9071045,,,,22,,,,,100,,,,,,,,Tasmania
327,Shipwreck ,06/08/1858 00:00:00,06/08/1858,06/08/1858 00:00:00,06/08/1858,-38.86537552,143.5144043,,,,12,,,,,,,,,,,,,Victoria
328,Extreme Weather,03/09/1975,03/09/1975,03/09/1975,3/09/1975,-33.85963821,151.2046814,,,,,15000000,,,,,,,,,,,,New South Wales
329,Shipwreck ,8/25/1969 0:00,8/25/1969,8/25/1969 0:00,8/25/1969,-30.9334507,153.083313,,,,21,,,,,,,,,,,,,New South Wales
330,Bushfire ,10/01/1926,10/01/1926,12/17/1926 0:00,12/17/1926,-33.15795898,148.0520935,,,,8,,,,,,,,,,,,,Queensland
330,Bushfire ,10/01/1926,10/01/1926,12/17/1926 0:00,12/17/1926,-33.15795898,148.0520935,,,,8,,,,,,,,,,,,,New South Wales
331,Industrial ,1/21/1926 0:00,1/21/1926,1/21/1926 0:00,1/21/1926,-33.00772858,151.7102966,,,,5,,,,,,,,,,,,,New South Wales
332,Transport ,3/16/1914 0:00,3/16/1914,3/16/1914 0:00,3/16/1914,-34.61381149,150.3174133,,,20,14,,,,,,,,,,,,,New South Wales
333,Extreme Weather,11/17/1996 0:00,11/17/1996,11/17/1996 0:00,11/17/1996,-31.09020615,150.9302979,,,,1,10000000,,,,,,,,,,,,New South Wales
334,Extreme Weather,03/02/1973,03/02/1973,3/30/1973 0:00,3/30/1973,-16.92290306,145.773941,,,,,30000000,,,,,,,,,,,,Queensland
335,Extreme Weather,24/01/1896 00:00:00,24/01/1896,28/01/1896 00:00:00,28/01/1896,-19.25200272,146.8206024,,,,18,,,,,,,,,,,,,Queensland
336,Bushfire ,12/01/1979,12/01/1979,02/01/1980,2/01/1980,-33.6717186,151.1949921,,,,5,,20,28,,,,,,,,,,New South Wales
337,Extreme Weather,1/25/1998 0:00,1/25/1998,02/02/1998,2/02/1998,-14.46360493,132.2644043,2000,3600,30,3,70000000,1170,,500,,,,,,,,,Northern Territory
338,Extreme Weather,11/30/1995 0:00,11/30/1995,11/30/1995 0:00,11/30/1995,-32.76039124,151.6027374,,,,,10000000,,,,,,,,,,,,New South Wales
339,Urban Fire ,08/02/1991,08/02/1991,08/02/1991,8/02/1991,-32.40094376,151.7576752,,,28,12,,,,,1,,,,,,,,New South Wales
340,Extreme Weather,1/21/1991 0:00,1/21/1991,1/21/1991 0:00,1/21/1991,-33.8731575,151.2069397,,,100,1,138400000,10000,20,1000,,,,,,,,,New South Wales
341,Urban Fire ,6/23/2000 0:00,6/23/2000,6/23/2000 0:00,6/23/2000,-25.23591995,152.2787933,,,,15,,,,,1,,,,,,,,Queensland
342,Epidemic ,11/01/1994,11/01/1994,02/01/1995,2/01/1995,-34.92795181,138.600174,,,22,1,,,,,,,,,,,,,South Australia
343,Extreme Weather,03/02/1949,03/02/1949,03/03/1949,3/03/1949,-23.66465187,150.8230591,,300,,4,,,1500,,,,,,,,,,Queensland
344,Shipwreck ,25/03/1862 00:00:00,25/03/1862,25/03/1862 00:00:00,25/03/1862,-36.291054,149.504356,,,,4,,,,,,,,,,,,,New South Wales
345,Extreme Weather,3/18/1999 0:00,3/18/1999,3/24/1999 0:00,3/24/1999,-12.46484184,130.837616,,,,,35000000,200,112,,,,,,,,,,Western Australia
346,Extreme Weather,4/18/1928 0:00,4/18/1928,4/24/1928 0:00,4/24/1928,-23.71833229,150.371933,,,,9,,,,,,,,,,,,,New South Wales
346,Extreme Weather,4/18/1928 0:00,4/18/1928,4/24/1928 0:00,4/24/1928,-23.71833229,150.371933,,,,9,,,,,,,,,,,,,Queensland
347,Bushfire ,01/01/1983,01/01/1983,1/31/1983 0:00,1/31/1983,-34.05809784,151.0814514,,,,3,,,,,,,,,,,,,New South Wales
348,Shipwreck ,05/03/1830 00:00:00,05/03/1830,05/03/1830 00:00:00,05/03/1830,-34.28303528,114.98909,,,,3,,,,,,,,,,,,,Western Australia
349,Shipwreck ,01/11/1835 00:00:00,01/11/1835,01/11/1835 00:00:00,01/11/1835,-31.90437508,152.6824951,,,,3,,,,,,,,,,,,,New South Wales
350,Bushfire ,1/13/1939 0:00,1/13/1939,1/20/1939 0:00,1/20/1939,-37.56360245,145.4637756,,,,71,,,1000,,,,,,69,,,,Australian Capital Territory
350,Bushfire ,1/13/1939 0:00,1/13/1939,1/20/1939 0:00,1/20/1939,-37.56360245,145.4637756,,,,71,,,1000,,,,,,69,,,,New South Wales
350,Bushfire ,1/13/1939 0:00,1/13/1939,1/20/1939 0:00,1/20/1939,-37.56360245,145.4637756,,,,71,,,1000,,,,,,69,,,,Victoria
350,Bushfire ,1/13/1939 0:00,1/13/1939,1/20/1939 0:00,1/20/1939,-37.56360245,145.4637756,,,,71,,,1000,,,,,,69,,,,South Australia
350,Bushfire ,1/13/1939 0:00,1/13/1939,1/20/1939 0:00,1/20/1939,-37.56360245,145.4637756,,,,71,,,1000,,,,,,69,,,,Tasmania
351,Bushfire ,2/15/1965 0:00,2/15/1965,3/13/1965 0:00,3/13/1965,-37.0245285,145.1369171,,,,3,,,,,60,,,,,,4000,,Victoria
352,Extreme Weather,03/07/1955,03/07/1955,03/07/1955,3/07/1955,-21.13790703,149.1849823,,,,8,,,,,,,,,,,,,Queensland
353,Shipwreck ,01/04/1854 00:00:00,01/04/1854,01/04/1854 00:00:00,01/04/1854,-38.282391,144.524031,,,,4,,,,,,,,,,,,,Victoria
354,Extreme Weather,1/17/2001 0:00,1/17/2001,1/17/2001 0:00,1/17/2001,-28.86076164,153.0458984,,,,,35000000,800,,,,300,,,,,,,New South Wales
355,Other ,10/14/1968 0:00,10/14/1968,10/14/1968 0:00,10/14/1968,-31.62678337,117.0074844,,,20,,1500000,,,50,,,,,,,,,Western Australia
356,Transport ,5/31/2000 0:00,5/31/2000,5/31/2000 0:00,5/31/2000,-34.23224258,136.9802856,,,,8,,,,,,,,,,,,,South Australia
358,Extreme Weather,11/06/1994,11/06/1994,11/08/1994,11/08/1994,-37.8119545,144.9635773,,100,50,1,,,,,,,,,,,,,Australian Capital Territory
358,Extreme Weather,11/06/1994,11/06/1994,11/08/1994,11/08/1994,-37.8119545,144.9635773,,100,50,1,,,,,,,,,,,,,New South Wales
358,Extreme Weather,11/06/1994,11/06/1994,11/08/1994,11/08/1994,-37.8119545,144.9635773,,100,50,1,,,,,,,,,,,,,Victoria
359,Shipwreck ,24/02/1875 00:00:00,24/02/1875,24/02/1875 00:00:00,24/02/1875,-12.85464859,141.1523438,,,,102,,,,,,,,,,,,,Queensland
360,Extreme Weather,3/20/1912 0:00,3/20/1912,3/22/1912 0:00,3/22/1912,-20.6311779,117.7265778,,,,173,,,,,,,,,,,,,Western Australia
361,Extreme Weather,02/01/1981,02/01/1981,02/01/1981,2/01/1981,-27.17769051,151.2635345,,,5,1,20000000,2000,,,,,,,,,,,Queensland
362,Extreme Weather,03/10/1918,03/10/1918,03/10/1918,3/10/1918,-17.52427864,146.0322876,,,,37,,,,,,,,,,,,,Queensland
363,Transport ,11/25/1978 0:00,11/25/1978,11/25/1978 0:00,11/25/1978,-32.54420853,137.6792908,,,,5,,,,,,,,,,,,,South Australia
364,Shipwreck ,30/05/1853 00:00:00,30/05/1853,30/05/1853 00:00:00,30/05/1853,-38.30933762,144.6295166,,,,24,,,,,,,,,,,,,Victoria
365,Extreme Weather,2/16/1958 0:00,2/16/1958,2/24/1958 0:00,2/24/1958,-33.39017487,151.4781189,,,,3,,,20,,,,,,,,,,Queensland
366,Shipwreck ,20/07/1847 00:00:00,20/07/1847,20/07/1847 00:00:00,20/07/1847,-36.00466919,150.3259277,,,,5,,,,,,,,,,,,,New South Wales
367,Shipwreck ,11/01/1914,11/01/1914,11/01/1914,11/01/1914,-38.57769394,142.6578064,,,,25,,,,,,,,,,,,,Victoria
368,Shipwreck ,14/08/1858 00:00:00,14/08/1858,14/08/1858 00:00:00,14/08/1858,-38.50143051,145.0593567,,,,4,,,,,,,,,,,,,Victoria
369,Transport ,7/13/1972 0:00,7/13/1972,7/13/1972 0:00,7/13/1972,-34.79287338,138.6933746,,,,8,,,,,,,,,,,,,South Australia
370,Transport ,1/26/2001 0:00,1/26/2001,1/26/2001 0:00,1/26/2001,-23.41597748,119.8016815,,,,4,,,,,,,,,,,,,Western Australia
371,Epidemic ,01/05/2003,01/05/2003,1/15/2003 0:00,1/15/2003,-37.81324387,144.9628906,,,195,1,,,,,,,,,,,,,Victoria
372,Other ,10/12/2002,10/12/2002,10/12/2002,10/12/2002,-8.721879005,115.1799774,,,209,202,,,,,,,,,,,,,Outside Australia
373,Transport ,10/13/2002 0:00,10/13/2002,10/13/2002 0:00,10/13/2002,-36.54605484,145.9825592,,,1,3,,,,,,,,,,,,,Victoria
374,Bushfire ,01/08/2003,01/08/2003,3/19/2003 0:00,3/19/2003,-36.72137451,146.7861481,,,,,12000000,,41,,213,,,,,,10000,,Victoria
375,Transport ,1/31/2003 0:00,1/31/2003,1/31/2003 0:00,1/31/2003,-34.13230515,150.9936829,,,41,7,,,,,,,,,,,,,New South Wales
376,Extreme Weather,8/24/2003 0:00,8/24/2003,8/24/2003 0:00,8/24/2003,-37.8119545,144.9635773,,,4,1,25000000,,,,,,,,,,,,Australian Capital Territory
376,Extreme Weather,8/24/2003 0:00,8/24/2003,8/24/2003 0:00,8/24/2003,-37.8119545,144.9635773,,,4,1,25000000,,,,,,,,,,,,New South Wales
376,Extreme Weather,8/24/2003 0:00,8/24/2003,8/24/2003 0:00,8/24/2003,-37.8119545,144.9635773,,,4,1,25000000,,,,,,,,,,,,Victoria
376,Extreme Weather,8/24/2003 0:00,8/24/2003,8/24/2003 0:00,8/24/2003,-37.8119545,144.9635773,,,4,1,25000000,,,,,,,,,,,,Tasmania
377,Extreme Weather,1/24/2004 0:00,1/24/2004,1/31/2004 0:00,1/31/2004,-28.13527489,153.486557,,,3,1,28500000,,,,,,,,,,,,Queensland
378,Bushfire ,01/10/2005,01/10/2005,01/12/2005,1/12/2005,-34.71579361,135.8571014,,,110,9,27700000,26,79,324,,,139,,,,46500,,South Australia
379,Extreme Weather,02/01/2005,02/01/2005,02/03/2005,2/03/2005,-33.71191788,150.9577332,,,,,216700000,,,,,,,,,,,,Australian Capital Territory
379,Extreme Weather,02/01/2005,02/01/2005,02/03/2005,2/03/2005,-33.71191788,150.9577332,,,,,216700000,,,,,,,,,,,,New South Wales
379,Extreme Weather,02/01/2005,02/01/2005,02/03/2005,2/03/2005,-33.71191788,150.9577332,,,,,216700000,,,,,,,,,,,,Victoria
379,Extreme Weather,02/01/2005,02/01/2005,02/03/2005,2/03/2005,-33.71191788,150.9577332,,,,,216700000,,,,,,,,,,,,South Australia
380,Other ,2/21/2005 0:00,2/21/2005,2/21/2005 0:00,2/21/2005,-37.6680603,144.8480377,2000,,47,,,,,,,,,,,,,,Victoria
381,Transport ,04/02/2005,04/02/2005,04/02/2005,4/02/2005,0.744302988,97.71102905,,,2,9,,,,,,,,,,,,,Outside Australia
382,Transport ,11/15/2003 0:00,11/15/2003,11/15/2003 0:00,11/15/2003,-37.60375977,144.2118683,,,43,,,,,,,,,,,,,,Victoria
383,Other ,9/25/1998 0:00,9/25/1998,10/14/1998 0:00,10/14/1998,-38.15885544,147.0897675,,,8,2,1300000000,,,,,,,,,,,,Victoria
384,Extreme Weather,2/16/2002 0:00,2/16/2002,2/16/2002 0:00,2/16/2002,-33.71273804,151.2968445,,,,,10000000,,,,,,,,,,,,New South Wales
386,Extreme Weather,12/25/1974 0:00,12/25/1974,12/25/1974 0:00,12/25/1974,-12.46484184,130.837616,35362,41000,650,71,200000000,200,5000,,,,,,,,,,Northern Territory
387,Urban Fire ,11/12/2004,11/12/2004,11/12/2004,11/12/2004,-37.81154633,144.9627075,,,,,20000000,,,,,,,2,,,,,Victoria
388,Transport ,9/17/2004 0:00,9/17/2004,9/17/2004 0:00,9/17/2004,-37.826192,144.997044,,,21,,,,,,,,,,,,,,Victoria
389,Transport ,08/05/2004,08/05/2004,08/05/2004,8/05/2004,-37.76031113,144.8117065,,,,3,,,,,,,,,,,,,Victoria
390,Transport ,04/03/2004,04/03/2004,04/03/2004,4/03/2004,-33.84752655,150.9477386,,,60,,,,,,,8,1,,,,,,New South Wales
391,Extreme Weather,03/03/2004,03/03/2004,3/31/2004 0:00,3/31/2004,-28.80579758,153.2768707,,,,3,,,,,,,,,,,,,Northern Territory
391,Extreme Weather,03/03/2004,03/03/2004,3/31/2004 0:00,3/31/2004,-28.80579758,153.2768707,,,,3,,,,,,,,,,,,,Queensland
391,Extreme Weather,03/03/2004,03/03/2004,3/31/2004 0:00,3/31/2004,-28.80579758,153.2768707,,,,3,,,,,,,,,,,,,New South Wales
391,Extreme Weather,03/03/2004,03/03/2004,3/31/2004 0:00,3/31/2004,-28.80579758,153.2768707,,,,3,,,,,,,,,,,,,Western Australia
392,Transport ,05/02/2002,05/02/2002,05/02/2002,5/02/2002,-36.067972,146.853561,,,,4,,,,,,,,,,,,,New South Wales
393,Other ,09/11/2001,09/11/2001,09/11/2001,9/11/2001,40.72436523,-74.00390625,,,,2819,,,,,,,,,,,,,Outside Australia
394,Industrial ,11/24/1999 0:00,11/24/1999,11/24/1999 0:00,11/24/1999,-33.1243248,148.1760406,,,,4,,,,,,,,,,,,,New South Wales
395,Extreme Weather,7/27/1999 0:00,7/27/1999,7/28/1999 0:00,7/28/1999,46.68671799,7.867413044,,,,21,,,,,,,,,,,,,Outside Australia
396,Transport ,7/24/1999 0:00,7/24/1999,7/24/1999 0:00,7/24/1999,-18.0250988,178.1364441,,,,17,,,,,,,,,,,,,Outside Australia
397,Transport ,6/17/1999 0:00,6/17/1999,6/17/1999 0:00,6/17/1999,-6.048510075,145.3781738,,,,17,,,,,,,,,,,,,Outside Australia
398,Extreme Weather,5/16/2005 0:00,5/16/2005,5/16/2005 0:00,5/16/2005,-32.0274353,115.7822495,,,,,53200000,,,,,,,,,,,,Western Australia
399,Extreme Weather,5/19/2005 0:00,5/19/2005,5/19/2005 0:00,5/19/2005,-27.47093391,153.0234985,,,,,17600000,,,,,,,,,,,,Queensland
400,Transport ,09/05/2005,09/05/2005,09/05/2005,9/05/2005,-34.63250351,150.6929474,,,14,3,,,,,,,,,,,,,New South Wales
401,Other ,07/07/2005,07/07/2005,07/07/2005,7/07/2005,51.51436996,0.075649001,,,700,56,,,,,,,,,,,,,Outside Australia
402,Extreme Weather,10/12/2005,10/12/2005,10/12/2005,10/12/2005,-27.92241287,153.3378754,,,,,61000000,,500,,,,2000,,,,,,Queensland
403,Other ,10/01/2005,10/01/2005,10/01/2005,10/01/2005,-8.717467308,115.1772308,,,130,26,,,,,,,,,,,,,Outside Australia
404,Extreme Weather,10/16/2005 0:00,10/16/2005,10/16/2005 0:00,10/16/2005,-33.10052109,118.4666214,,,,,10000000,,,,,,,,,,,,Western Australia
405,Bushfire ,11/30/1957 0:00,11/30/1957,12/04/1957,12/04/1957,-33.71252823,150.3315277,,,,4,,,158,,,,,,,,,,New South Wales
406,Transport ,07/02/1949,07/02/1949,07/02/1949,7/02/1949,-31.93187714,115.9596176,,,,18,,,,,,,,,,,,,Western Australia
407,Industrial ,12/06/1999,12/06/1999,12/06/1999,12/06/1999,-32.71494293,151.5270386,,,1,3,,,,,,,,,,,,,New South Wales
408,Shipwreck ,13/07/1873 00:00:00,13/07/1873,13/07/1873 00:00:00,13/07/1873,-38.33303833,144.6130371,,,,4,,,,,,,,,,,,,Victoria
409,Extreme Weather,1/19/1907 0:00,1/19/1907,1/19/1907 0:00,1/19/1907,-15.46823978,145.254364,,,,9,,,,12,,,,,,,,,Queensland
410,Industrial ,7/31/1972 0:00,7/31/1972,7/31/1972 0:00,7/31/1972,-27.57159042,152.762146,,,17,17,,,,,,,,,,,,,Queensland
411,Environmental,01/06/1994,01/06/1994,01/10/1994,1/10/1994,-19.25743103,146.8178558,,,,3,,,,,,,,,,,,,Queensland
412,Transport ,8/13/1998 0:00,8/13/1998,8/13/1998 0:00,8/13/1998,-35.890163,147.169418,,,25,1,,,,,,,,,,,,,New South Wales
413,Shipwreck ,09/11/1872 00:00:00,09/11/1872,09/11/1872 00:00:00,09/11/1872,-34.08792496,141.9152069,,,,5,,,,,,,,,,,,,Victoria
414,Extreme Weather,12/27/1916 0:00,12/27/1916,12/27/1916 0:00,12/27/1916,-22.81669426,147.6480103,,,,61,,,,,,,,,,,,,Queensland
415,Extreme Weather,1/21/1977 0:00,1/21/1977,1/21/1977 0:00,1/21/1977,-33.80190277,150.9441681,,,,1,15000000,,,,,,,,,,,,New South Wales
416,Extreme Weather,2/22/1955 0:00,2/22/1955,2/28/1955 0:00,2/28/1955,-31.82798195,147.7187347,40000,15000,,24,,5200,58,,,,,,,,,,New South Wales
417,Shipwreck ,21/10/1854 00:00:00,21/10/1854,21/10/1854 00:00:00,21/10/1854,-32.92145538,151.8076172,,,2,7,,,,,,,,,,,,,New South Wales
418,Shipwreck ,24/08/1857 00:00:00,24/08/1857,24/08/1857 00:00:00,24/08/1857,-38.86056137,143.5439301,,,,32,,,,,,,,,,,,,Victoria
